person_id,display_first_last,position,season_exp,height,weight,from_year,to_year,height_inches
76001,Alaa Abdelnaby,Forward,5.0,6-10,240.0,1990.0,1994.0,82.0
76002,Zaid Abdul-Aziz,Center,10.0,6-9,235.0,1968.0,1977.0,81.0
76003,Kareem Abdul-Jabbar,Center,20.0,7-2,225.0,1969.0,1988.0,86.0
949,Shareef Abdur-Rahim,Forward,13.0,6-9,245.0,1996.0,2007.0,81.0
76006,Forest Able,Guard,1.0,6-3,180.0,1956.0,1956.0,75.0
76007,John Abramovic,Forward,2.0,6-3,195.0,1946.0,1947.0,75.0
203518,Alex Abrines,Guard,3.0,6-6,200.0,2016.0,2018.0,78.0
1630173,Precious Achiuwa,Forward,3.0,6-8,225.0,2020.0,2023.0,80.0
203112,Quincy Acy,Forward,7.0,6-7,240.0,2012.0,2018.0,79.0
76011,Alvan Adams,Center,13.0,6-9,210.0,1975.0,1987.0,81.0
1629121,Jaylen Adams,Guard,3.0,6-0,225.0,2018.0,2020.0,72.0
149,Michael Adams,Guard,11.0,5-10,165.0,1985.0,1995.0,70.0
203500,Steven Adams,Center,10.0,6-11,265.0,2013.0,2023.0,83.0
1629061,Deng Adel,Forward,2.0,6-7,200.0,2018.0,2018.0,79.0
76015,Rick Adelman,Guard,7.0,6-2,175.0,1968.0,1974.0,74.0
201167,Arron Afflalo,Guard,12.0,6-5,210.0,2007.0,2017.0,77.0
1630534,Ochai Agbaji,Guard,1.0,6-5,215.0,2022.0,2023.0,77.0
200772,Maurice Ager,Forward-Guard,4.0,6-5,202.0,2006.0,2010.0,77.0
76016,Mark Aguirre,Forward,13.0,6-6,232.0,1981.0,1993.0,78.0
201582,Alexis Ajinca,Center,8.0,7-2,248.0,2008.0,2017.0,86.0
203006,Josh Akognon,Guard,2.0,5-11,185.0,2012.0,2012.0,71.0
1629152,DeVaughn Akoon-Purcell,Guard-Forward,2.0,6-6,200.0,2018.0,2018.0,78.0
76020,Gary Alcorn,Center,2.0,6-9,225.0,1959.0,1960.0,81.0
1630583,Santi Aldama,Forward-Center,2.0,7-0,215.0,2021.0,2023.0,84.0
202332,Cole Aldrich,Center,9.0,6-11,253.0,2010.0,2017.0,83.0
200746,LaMarcus Aldridge,Center-Forward,17.0,6-11,250.0,2006.0,2021.0,83.0
76021,Chuck Aleksinas,Center,1.0,6-11,260.0,1984.0,1984.0,83.0
1626146,Cliff Alexander,Forward,2.0,6-8,240.0,2015.0,2015.0,80.0
76022,Gary Alexander,Forward,1.0,6-7,240.0,1993.0,1993.0,79.0
201570,Joe Alexander,Forward,3.0,6-8,230.0,2008.0,2009.0,80.0
1630234,Ty-Shon Alexander,Guard,2.0,6-3,195.0,2020.0,2020.0,75.0
2349,Victor Alexander,Forward,5.0,6-10,265.0,1991.0,2001.0,82.0
1628959,Rawle Alkins,Guard,2.0,6-5,225.0,2018.0,2018.0,77.0
76028,Bob Allen,Forward,1.0,6-9,205.0,1968.0,1968.0,81.0
1628960,Grayson Allen,Guard,5.0,6-4,198.0,2018.0,2023.0,76.0
1628386,Jarrett Allen,Center,6.0,6-9,243.0,2017.0,2023.0,81.0
706,Jerome Allen,Guard,2.0,6-4,184.0,1995.0,1996.0,76.0
1628443,Kadeem Allen,Guard,3.0,6-1,200.0,2017.0,2019.0,73.0
2124,Malik Allen,Forward,11.0,6-10,255.0,2001.0,2010.0,82.0
76025,Randy Allen,Forward,2.0,6-8,220.0,1988.0,1989.0,80.0
2754,Tony Allen,Guard-Forward,14.0,6-4,213.0,2004.0,2017.0,76.0
76029,Odis Allison,Forward,1.0,6-6,195.0,1971.0,1971.0,78.0
200984,Lance Allred,Center,2.0,6-11,250.0,2007.0,2007.0,83.0
76030,Darrell Allums,Forward,1.0,6-8,220.0,1980.0,1980.0,80.0
201165,Morris Almond,Guard,4.0,6-6,225.0,2007.0,2011.0,78.0
1747,Rafer Alston,Guard,11.0,6-2,175.0,1999.0,2009.0,74.0
1630631,Jose Alvarado,Guard,2.0,6-0,179.0,2021.0,2023.0,72.0
680,John Amaechi,Forward-Center,6.0,6-10,270.0,1995.0,2002.0,82.0
202329,Al-Farouq Aminu,Forward,12.0,6-8,220.0,2010.0,2020.0,80.0
76034,Bob Anderegg,Forward,1.0,6-3,200.0,1959.0,1959.0,75.0
2365,Chris Andersen,Forward-Center,15.0,6-10,245.0,2001.0,2016.0,82.0
101187,Alan Anderson,Forward-Guard,9.0,6-6,220.0,2005.0,2016.0,78.0
202079,Antonio Anderson,Guard,2.0,6-6,215.0,2009.0,2009.0,78.0
76035,Cliff Anderson,Guard,3.0,6-2,200.0,1967.0,1970.0,74.0
76036,Daniel Anderson,Guard,2.0,6-2,185.0,1974.0,1975.0,74.0
944,Eric Anderson,Forward,2.0,6-9,220.0,1992.0,1993.0,81.0
246,Greg Anderson,Center-Forward,10.0,6-10,250.0,1987.0,1997.0,82.0
202341,James Anderson,Guard-Forward,6.0,6-6,213.0,2010.0,2015.0,78.0
1626147,Justin Anderson,Forward-Guard,7.0,6-5,231.0,2015.0,2021.0,77.0
